,run,epoch,loss,valid_loss,test_loss,decision_loss,epoch duration,run duration,lr,batch_size,likelihood_fn,dropout_rate,random_noise,k,model_arch
0,1,1,3.274432775463505,3.8456874357329474,3.0795074089153394,3.8456874357329474,0.5428311824798584,0.5428400039672852,0.001,32,gaussian,0,0,0,"('MLP', [50, 50])"
1,2,1,4.773272423612245,3.8048947886987166,3.130117646285466,3.8048947886987166,0.554628849029541,0.5546867847442627,0.001,32,gaussian,0,0,1,"('MLP', [50, 50])"
2,3,1,3.181507812335323,3.964228169484572,6.354824160274706,3.964228169484572,0.530484676361084,0.5305383205413818,0.001,32,gaussian,0,0,2,"('MLP', [50, 50])"
3,4,1,4.125219567317297,4.163900207389485,2.9908763567606607,4.163900207389485,0.5778820514678955,0.5779428482055664,0.001,32,gaussian,0,0,3,"('MLP', [50, 50])"
4,5,1,3.364977788307837,3.1084561834529953,6.044477275439671,3.1084561834529953,0.5938129425048828,0.5938632488250732,0.001,32,gaussian,0,0,4,"('MLP', [50, 50])"
5,6,1,3.5573226910570392,3.9696466109969397,9.456290574300857,3.9696466109969397,0.58477783203125,0.5848369598388672,0.001,32,gaussian,0,0,5,"('MLP', [50, 50])"
6,7,1,2.962922824983086,4.173014564947649,2.965808529602854,4.173014564947649,0.5723445415496826,0.5723989009857178,0.001,32,gaussian,0,0,6,"('MLP', [50, 50])"
7,8,1,3.360659801925736,4.307593930851329,2.654577577114105,4.307593930851329,0.551347017288208,0.5513973236083984,0.001,32,gaussian,0,0,7,"('MLP', [50, 50])"
8,9,1,2.801335353942381,3.9826396812092173,3.1818910326276506,3.9826396812092173,0.5956699848175049,0.5957174301147461,0.001,32,gaussian,0,0,8,"('MLP', [50, 50])"
9,10,1,3.0685207226352227,3.6916696483438667,3.316635055541992,3.6916696483438667,0.5824873447418213,0.5825445652008057,0.001,32,gaussian,0,0,9,"('MLP', [50, 50])"
10,11,1,1.6828340677970863,1.6088299573295646,1.1122130298533954,1.6088299573295646,0.5656931400299072,0.5657413005828857,0.001,32,gumbel,0,0,0,"('MLP', [50, 50])"
11,12,1,1.6963734759623745,1.3238729208030484,1.4858948199876718,1.3238729208030484,0.5292680263519287,0.5293216705322266,0.001,32,gumbel,0,0,1,"('MLP', [50, 50])"
12,13,1,1.6479370382924874,1.2620108867572113,1.7954722782106776,1.2620108867572113,0.5405032634735107,0.5405638217926025,0.001,32,gumbel,0,0,2,"('MLP', [50, 50])"
13,14,1,1.735346028515521,1.2129585358568213,1.4665143410675228,1.2129585358568213,0.5639936923980713,0.5640504360198975,0.001,32,gumbel,0,0,3,"('MLP', [50, 50])"
14,15,1,1.6966727204833711,1.1729890599238628,1.8088896412934576,1.1729890599238628,0.5662593841552734,0.5663166046142578,0.001,32,gumbel,0,0,4,"('MLP', [50, 50])"
15,16,1,1.6597398730291837,1.2060922220010648,1.659823789483025,1.2060922220010648,0.596489429473877,0.5965423583984375,0.001,32,gumbel,0,0,5,"('MLP', [50, 50])"
16,17,1,1.717828928402492,1.4922195449471474,0.9981190754394782,1.4922195449471474,0.5580739974975586,0.5581686496734619,0.001,32,gumbel,0,0,6,"('MLP', [50, 50])"
